location,window_days,forecast_peak_precip_mm_mean,forecast_peak_precip_mm_min,forecast_peak_precip_mm_max,gev_return_period_years_mean,gev_return_period_years_min,gev_return_period_years_max,pct_members_above_10yr_return
Abbotsford,1,2.4146676235432096,0.0,6.744057405740023,1.0000016986144522,1.0000000031721863,1.0000118401725935,0.0
Abbotsford,3,2.469077646946971,0.0,6.744057405740023,1.0000001337481936,1.0000000070267312,1.0000006925334841,0.0
Abbotsford,5,2.49147828317291,0.0,6.744057405740023,1.000000046050022,1.0000000048642257,1.0000002055923543,0.0
BatonRouge,1,19.64687965810299,9.134641848504543,31.370356678962708,1.242874121392538,1.1857172397095475,1.315390828582432,0.0
BatonRouge,3,29.703591857105494,11.366652324795723,50.73992535471916,1.0081798118884626,1.000111911184515,1.038775736859931,0.0
BatonRouge,5,35.11065086349845,11.413143016397953,58.351412415504456,1.0065097222026143,1.0000286952974387,1.0295671494183307,0.0
Houston,1,15.569866728037596,6.0564074665308,28.07530015707016,1.0097505768575281,1.0002306739131772,1.0535537175101997,0.0
Houston,3,22.81286702491343,7.801686879247427,43.431319296360016,1.009626714676068,1.000203220695113,1.0522528880289752,0.0
Houston,5,28.95045457407832,8.340968750417233,50.0807911157608,1.0124610821813904,1.0003187991451898,1.0485814523911532,0.0
Raleigh,1,26.06413448229432,13.37148156017065,43.608225882053375,1.0606458139832056,1.0001847469539187,1.3560153181252617,0.0
Raleigh,3,37.87034209817648,25.736631825566292,69.42278891801834,1.037513320457864,1.0005763070043983,1.298381193973361,0.0
Raleigh,5,38.02812285721302,25.740738958120346,69.42278891801834,1.0091175944874884,1.0000490971019125,1.0789505471426077,0.0
Tampa,1,6.114798586349934,1.3562748208642006,15.922894701361656,1.0003857335753534,1.0000053826013133,1.0022751433677368,0.0
Tampa,3,8.784897171426564,1.8003610894083977,32.94142335653305,1.000602099016747,1.000001089192567,1.0058182889293221,0.0
Tampa,5,9.298447472974658,1.8003610894083977,34.99103710055351,1.000313058193543,1.000001459691367,1.0029902734043283,0.0
